total_amount,avg_review,diff_first_today,diff_first_last,recency,frequency,customer_city,customer_state
127.17,5.0,1133,0,2.858374915296002,1,1796,19
495.65999999999997,5.0,1136,0,2.9569395675475882,3,2917,18
125.74,2.0,1131,0,2.792665147128278,1,1051,17
109.5,5.0,1368,0,10.579272675003594,1,1412,25
306.67,2.3333333333333335,1123,0,2.529826074457381,3,413,10
175.28,5.0,1377,0,10.874966631758353,1,1512,22
104.63999999999999,4.5,1156,44,2.168422349534898,2,3104,25
105.38,5.0,1145,0,3.252633524302347,1,1132,18
189.44,4.0,1364,0,10.447853138668146,1,3328,25
42.0,5.0,1316,0,8.870818702642765,1,2917,18
417.53999999999996,5.0,1381,0,11.006386168093801,1,2131,8
48.64,5.0,1415,0,12.123452226945112,1,2740,22
89.85,1.0,1102,0,1.8398735086962772,1,2917,18
1544.62,4.0,1054,0,0.26283907267089673,1,3749,10
51.79,4.0,1084,0,1.2484855951867595,1,3328,25
237.94,5.0,1313,0,8.772254050391178,1,2184,10
36.17,4.0,1093,0,1.5441795519415182,1,3328,25
142.41,4.0,1047,0,0.03285488408386209,1,3613,25
30.68,5.0,1384,0,11.104950820345387,1,502,25
36.72,5.0,1172,0,4.139715394566624,1,390,25
189.1,5.0,1079,0,1.084211174767449,1,3477,25
232.71,5.0,1294,0,8.148011252797799,1,3328,25
68.94,4.0,1072,0,0.8542269861804144,1,2855,15
42.76,1.0,1084,0,1.2484855951867595,1,3328,25
583.63,1.0,1217,0,5.6181851783404175,1,2917,18
127.01,5.0,1208,0,5.322491221585659,1,2917,18
86.73,5.0,1239,0,6.340992628185384,1,2917,18
963.25,1.0,1289,181,2.0370028131994498,2,3014,10
72.14,5.0,1253,0,6.800961005359453,1,580,7
675.33,3.3333333333333335,1167,0,3.975440974147313,3,3477,25
26.29,5.0,1272,0,7.425203802952833,1,1412,25
77.15,1.0,1106,0,1.9712930450317254,1,413,10
148.15,5.0,1368,0,10.579272675003594,1,1466,10
67.0,5.0,1200,0,5.059652148914762,1,2113,17
85.71,5.0,1369,116,6.800961005359453,2,3328,25
438.76,5.0,1340,0,9.659335920655455,1,3328,25
103.51,4.0,1086,0,1.3141953633544836,1,2855,15
45.0,4.0,1173,0,4.172570278650485,1,1051,17
567.6,1.0,1101,0,1.8070186246124151,1,2917,18
86.83,5.0,1305,0,8.509414977720281,1,1041,12
38.79,5.0,1069,0,0.7556623339288281,1,2396,25
152.72,2.0,1193,0,4.829667960327727,1,1518,4
48.71,5.0,1161,0,3.7783116696441406,1,3788,25
213.83,5.0,1057,0,0.361403724922483,1,2640,25
150.76,3.0,1102,0,1.8398735086962772,1,482,25
128.31,5.0,1050,0,0.13141953633544837,1,3787,18
87.8,4.0,1193,0,4.829667960327727,1,3681,5
31.75,4.0,1308,0,8.607979629971869,1,2844,25
1224.06,5.0,1211,0,5.421055873837245,1,649,25
33.35,5.0,1250,0,6.702396353107867,1,2769,10
71.8,5.0,1485,0,14.423294112815459,1,3287,25
154.38,4.0,1328,0,9.26507731164911,1,681,18
154.19,5.0,1170,0,4.0740056263988995,1,1412,25
395.55,5.0,1280,100,4.40255446723752,2,3649,10
96.71,1.0,1097,0,1.6755990882769667,1,2430,23
125.2,1.0,1193,0,4.829667960327727,1,1264,5
27.79,4.0,1053,0,0.22998418858703465,1,852,25
886.1199999999999,3.0,1137,79,0.3942586090063451,2,2462,10
1227.98,5.0,1214,0,5.519620526088832,1,2259,11
35.0,5.0,1139,0,3.0555042197991744,1,2069,17
286.34,5.0,1376,0,10.84211174767449,1,557,18
194.2,5.0,1089,0,1.41276001560607,1,649,25
212.73,1.0,1190,0,4.7311033080761415,1,1806,25
154.74,5.0,1128,0,2.6941004948766913,1,2917,18
116.23,3.0,1246,0,6.5709768167724185,1,3328,25
22.1,5.0,1193,0,4.829667960327727,1,966,18
53.0,5.0,1359,0,10.283578718248835,1,3296,22
31.69,4.0,1309,0,8.64083451405573,1,2917,18
411.21,5.0,1226,0,5.9138791350951765,1,877,17
269.23,5.0,1061,0,0.49282326125793136,1,792,25
60.3,5.0,1398,0,11.564919197519457,1,2855,15
316.58,1.0,1369,0,10.612127559087456,1,2917,18
715.44,4.0,1304,238,0.6570976816772418,6,3298,9
55.1,5.0,1187,0,4.632538655824555,1,2917,18
119.79,5.0,1607,0,18.431589971046634,1,400,25
59.11,3.0,1208,0,5.322491221585659,1,1791,11
154.77,5.0,1359,0,10.283578718248835,2,2473,17
163.22,2.0,1194,0,4.86252284441159,1,3787,18
116.46,4.0,1382,0,11.039241052177664,1,3174,23
54.74,5.0,1482,0,14.324729460563871,1,3176,1
881.11,5.0,1179,0,4.3696995831536585,2,3527,25
210.85,1.0,1135,0,2.924084683463726,1,2917,18
224.57999999999998,4.0,1224,16,5.322491221585659,2,413,10
170.84,4.0,1351,0,10.020739645577939,1,277,22
44.53,5.0,1364,0,10.447853138668146,1,1243,15
45.22,5.0,1078,0,1.051356290683587,1,2740,22
73.5,5.0,1372,0,10.710692211339042,1,3328,25
175.31,5.0,1170,12,3.6797470173925544,2,3656,10
371.19,2.0,1137,0,2.9897944516314503,1,2018,2
112.00999999999999,5.0,1161,1,3.7454567855602785,2,649,25
145.01,5.0,1070,12,0.3942586090063451,2,1264,5
288.43,2.0,1073,0,0.8870818702642764,1,408,13
264.14,4.5,1380,0,10.973531284009939,4,3004,4
36.77,5.0,1145,0,3.252633524302347,1,2326,25
58.69,5.0,1373,0,10.743547095422905,1,3282,25
39.84,4.0,1140,0,3.0883591038830365,1,3042,25
92.83,5.0,1063,0,0.5585330294256555,1,3328,25
95.21,4.0,1309,0,8.64083451405573,1,3129,22
41.09,5.0,1239,0,6.340992628185384,1,547,10
109.67,5.0,1132,0,2.82552003121214,1,903,25
188.98,5.0,1100,0,1.7741637405285529,1,3328,25
218.98000000000002,4.0,1400,0,11.63062896568718,3,227,1
45.53,5.0,1298,0,8.279430789133247,1,2911,25
111.97,3.0,1280,0,7.688042875623729,1,1733,15
304.6,5.0,1133,0,2.858374915296002,3,2769,10
56.6,5.0,1193,0,4.829667960327727,1,2740,22
415.40999999999997,1.0,1458,263,4.895377728495451,2,3328,25
235.4,3.0,1230,0,6.045298671430625,1,1248,23
143.27,5.0,1237,0,6.27528286001766,1,843,8
244.27,2.0,1274,0,7.490913571120557,1,1854,5
82.98,5.0,1345,0,9.823610341074765,1,3328,25
71.14,5.0,1176,0,4.271134930902072,1,413,10
64.17,5.0,1111,0,2.135567465451036,1,2272,18
156.9,3.0,1074,0,0.9199367543481386,1,2914,18
37.13,3.0,1266,0,7.2280744984496605,1,2996,25
71.62,4.0,1123,0,2.529826074457381,1,3328,25
64.34,5.0,1234,0,6.176718207766073,1,3287,25
77.66,4.0,1113,0,2.20127723361876,1,3212,18
157.22,5.0,1098,0,1.7084539723608287,1,2731,18
361.07,4.0,1285,0,7.85231729604304,1,2175,19
233.88,5.0,1093,0,1.5441795519415182,2,2539,25
39.48,2.0,1354,0,10.119304297829524,1,3290,22
223.11999999999998,5.0,1111,0,2.135567465451036,5,649,25
157.22,1.0,1219,0,5.683894946508142,1,1165,22
53.62,5.0,1137,0,2.9897944516314503,1,2505,15
43.13,5.0,1062,0,0.5256781453417935,1,666,11
156.42,1.0,1225,0,5.881024251011314,1,3328,25
288.31,4.0,1238,0,6.308137744101521,1,2917,18
91.01,5.0,1089,0,1.41276001560607,1,2917,18
279.7,2.0,1214,0,5.519620526088832,1,3367,25
111.02,3.0,1214,0,5.519620526088832,1,413,10
105.28,5.0,1330,0,9.330787079816835,1,3743,22
37.69,4.0,1049,0,0.09856465225158627,1,3477,25
96.61,5.0,1061,0,0.49282326125793136,1,3377,22
41.18,1.0,1086,0,1.3141953633544836,1,2917,18
138.08,5.0,1233,0,6.143863323682211,1,2302,10
1471.51,4.0,1232,0,6.111008439598349,1,2917,18
158.36,4.0,1268,0,7.293784266617385,1,3779,7
144.76,5.0,1121,0,2.464116306289657,1,2272,18
164.0,4.333333333333333,1136,8,2.6941004948766913,3,413,10
202.62,5.0,1405,0,11.79490338610649,1,1352,22
216.18,5.0,1061,0,0.49282326125793136,1,508,6
127.24,5.0,1315,0,8.837963818558903,1,3287,25
164.04,4.0,1212,0,5.453910757921107,1,1332,8
333.63,5.0,1433,0,12.71484014045463,1,2670,25
40.01,5.0,1354,0,10.119304297829524,1,413,10
143.92,4.0,1190,0,4.7311033080761415,1,3281,25
147.15,5.0,1244,0,6.505267048604694,1,2917,18
266.5,5.0,1176,0,4.271134930902072,1,3232,18
316.64,1.0,1125,0,2.595535842625105,1,1863,25
77.77,2.0,1161,0,3.7783116696441406,1,3328,25
117.85,3.0,1193,0,4.829667960327727,1,1656,8
33.85,3.0,1108,0,2.0370028131994498,1,3477,25
117.27,5.0,1066,0,0.6570976816772418,1,3779,7
65.05,5.0,1391,0,11.33493500893242,1,413,10
236.49,5.0,1114,0,2.234132117702622,3,508,6
147.37,5.0,1366,0,10.513562906835869,1,815,5
213.03000000000003,3.6666666666666665,1094,0,1.5770344360253803,3,2505,19
139.6,4.333333333333333,1468,204,7.1623647302819355,3,353,25
132.58,5.0,1184,0,4.533974003572968,1,3441,10
101.34,5.0,1153,0,3.5154725969732437,1,438,23
134.38,5.0,1164,0,3.8768763218957267,1,1404,25
40.0,4.0,1293,0,8.115156368713937,1,3468,10
155.69,3.0,1091,0,1.4784697837737941,2,508,6
66.59,5.0,1428,0,12.55056572003532,1,961,10
272.23,5.0,1432,283,3.3840530606377954,2,597,25
95.34,5.0,1072,0,0.8542269861804144,1,3328,25
259.35,1.0,1260,0,7.030945193946487,2,3328,25
496.29999999999995,1.0,1092,37,0.29569395675475885,2,2254,19
148.03,5.0,1438,0,12.87911456087394,1,2917,18
346.86,4.0,1230,0,6.045298671430625,1,508,6
21.34,4.0,1245,0,6.538121932688556,1,597,25
439.44,2.5,1281,0,7.720897759707592,2,666,11
368.6,4.0,1149,0,3.3840530606377954,1,2393,25
819.5200000000001,5.0,1461,383,1.051356290683587,3,715,25
146.68,3.0,1235,35,5.059652148914762,2,3328,25
64.69,5.0,1203,0,5.158216801166349,1,2917,18
69.9,5.0,1048,0,0.06570976816772418,1,1013,23
359.19,5.0,1193,0,4.829667960327727,1,2917,18
167.48,1.0,1450,0,13.273373169880285,1,1004,25
55.22,1.0,1065,0,0.6242427975933798,1,3328,25
149.32,4.0,1185,0,4.566828887656831,1,3328,25
137.07,1.0,1362,0,10.38214337050042,1,3328,25
660.9399999999998,3.0,1214,75,3.0555042197991744,6,3128,25
251.83,5.0,1473,0,14.029035503809114,1,3328,25
222.2,5.0,1055,0,0.29569395675475885,1,2032,10
23.77,5.0,1207,0,5.289636337501797,1,3328,25
25.0,5.0,1192,0,4.796813076243866,1,3147,10
103.55,5.0,1278,0,7.622333107456005,1,3328,25
711.89,4.0,1281,0,7.720897759707592,2,3160,25
116.94,5.0,1193,0,4.829667960327727,1,3328,25
118.24,1.0,1387,0,11.203515472596973,1,3477,25
456.01,5.0,1302,234,0.722807449844966,4,1188,25
105.18,3.0,1132,0,2.82552003121214,1,1215,17
96.4,5.0,1246,0,6.5709768167724185,1,3657,10
178.52,1.0,1384,0,11.104950820345387,1,3393,23
73.44,5.0,1149,0,3.3840530606377954,1,297,25
81.55,5.0,1089,0,1.41276001560607,1,957,17
28.07,5.0,1190,0,4.7311033080761415,1,3144,10
323.91,5.0,1359,0,10.283578718248835,1,1272,25
86.04,5.0,1077,0,1.0185014065997249,1,1264,5
588.71,5.0,1321,69,6.768106121275591,3,888,10
163.78,5.0,1240,0,6.373847512269246,1,3011,25
49.4,5.0,1143,0,3.186923756134623,1,3779,7
116.94,5.0,1250,0,6.702396353107867,1,2320,10
1341.45,5.0,1274,0,7.490913571120557,1,1659,5
218.48000000000002,5.0,1255,0,6.8666707735271775,3,1941,25
58.59,2.0,1140,0,3.0883591038830365,1,1073,25
236.29,5.0,1190,0,4.7311033080761415,1,3328,25
165.96,5.0,1098,0,1.7084539723608287,1,3328,25
27.6,5.0,1255,0,6.8666707735271775,1,3328,25
264.49,1.0,1356,0,10.18501406599725,1,3328,25
104.35,5.0,1403,0,11.729193617938767,1,3499,15
170.37,5.0,1178,0,4.336844699069796,1,1404,25
76.02,5.0,1246,0,6.5709768167724185,1,3328,25
149.34,3.0,1386,23,10.414998254584283,2,11,15
262.16,5.0,1232,0,6.111008439598349,1,2524,10
34.23,5.0,1183,0,4.501119119489107,1,2393,25
141.3,3.0,1398,0,11.564919197519457,1,3101,3
236.28,2.0,1389,0,11.269225240764698,1,2482,11
63.27,5.0,1160,0,3.7454567855602785,1,3287,25
430.13,5.0,1476,114,10.38214337050042,2,2393,25
153.13,5.0,1118,0,2.3655516540380708,1,2917,18
401.27,4.0,1346,37,8.64083451405573,2,1753,10
30.75,1.0,1106,0,1.9712930450317254,1,400,25
301.65,5.0,1220,0,5.716749830592004,1,2917,18
57.29,5.0,1070,0,0.7885172180126901,1,3328,25
210.55,4.0,1356,0,10.18501406599725,5,3378,18
31.0,4.0,1173,0,4.172570278650485,1,508,6
75.07,5.0,1363,0,10.414998254584283,1,2936,17
161.53,5.0,1073,0,0.8870818702642764,1,3328,25
136.6,5.0,1135,0,2.924084683463726,1,901,7
99.23,5.0,1607,0,18.431589971046634,1,3701,25
67.5,5.0,1131,0,2.792665147128278,1,3102,22
103.87,5.0,1302,0,8.410850325468695,1,3494,25
1003.6200000000001,5.0,1181,0,4.435409351321383,3,1889,10
115.44,5.0,1192,0,4.796813076243866,1,1364,7
1250.23,4.0,1294,11,7.786607527875316,5,812,8
236.55,2.0,1065,0,0.6242427975933798,1,3212,18
394.96,5.0,1193,0,4.829667960327727,1,3328,25
286.54,5.0,1201,0,5.092507032998625,1,829,22
130.69,4.0,1079,0,1.084211174767449,1,1332,8
102.03,1.0,1346,0,9.856465225158628,1,1073,25
74.05,4.0,1301,0,8.377995441384833,1,2769,10
175.54,5.0,1145,0,3.252633524302347,3,3328,25
143.06,5.0,1104,0,1.9055832768640013,1,2855,15
328.5,5.0,1251,0,6.735251237191728,1,3328,25
318.7,5.0,1328,0,9.26507731164911,1,3086,25
112.92,4.0,1105,0,1.9384381609478634,1,3287,25
163.39,5.0,1047,0,0.03285488408386209,1,3328,25
335.46999999999997,5.0,1165,83,1.1827758270190354,3,3328,25
154.36,1.0,1138,0,3.0226493357153124,1,2393,25
168.33,1.0,1119,0,2.398406538121933,1,2917,18
99.0,4.0,1176,0,4.271134930902072,1,408,13
144.66,4.0,1371,0,10.67783732725518,1,1004,25
33.34,4.0,1124,0,2.562680958541243,1,3328,25
916.02,5.0,1252,0,6.768106121275591,1,3663,17
310.2,5.0,1180,0,4.40255446723752,1,649,25
69.84,4.0,1208,0,5.322491221585659,1,1051,17
62.44,5.0,1193,0,4.829667960327727,1,3328,25
58.64,5.0,1501,0,14.948972258157252,1,3328,25
103.24,5.0,1295,57,6.308137744101521,2,1229,25
31.07,4.0,1197,0,4.9610874966631755,1,666,11
61.58,4.0,1302,0,8.410850325468695,1,3282,25
188.8,4.0,1186,0,4.599683771740692,1,2106,25
225.42,3.0,1119,0,2.398406538121933,2,563,25
240.58,5.0,1073,0,0.8870818702642764,1,1073,25
100.53,3.0,1170,0,4.0740056263988995,1,3328,25
32.29,1.0,1050,0,0.13141953633544837,1,3328,25
51.84,5.0,1187,0,4.632538655824555,1,1412,25
78.2,4.0,1432,0,12.681985256370767,1,649,25
25.0,4.0,1282,0,7.7537526437914535,1,2868,18
34.42,5.0,1467,0,13.83190619930594,1,961,10
109.21,5.0,1083,0,1.2156307111028974,1,1741,25
130.47,5.0,1397,0,11.532064313435594,1,1132,18
127.53,1.0,1123,0,2.529826074457381,1,2917,18
89.54,5.0,1101,0,1.8070186246124151,2,1412,25
105.04,5.0,1396,0,11.499209429351732,1,1862,14
192.94,3.0,1231,0,6.078153555514487,3,1835,10
133.97,5.0,1202,0,5.125361917082486,1,1051,17
371.18,5.0,1272,0,7.425203802952833,1,374,18
148.65,5.0,1120,0,2.431261422205795,1,1029,22
128.88,4.0,1443,0,13.04338898129325,1,681,18
62.37,5.0,1137,0,2.9897944516314503,1,3328,25
114.88,2.0,1450,0,13.273373169880285,1,1923,4
90.6,5.0,1399,0,11.597774081603319,1,2917,18
72.01,5.0,1297,77,5.716749830592004,2,1715,25
450.53,2.0,1166,0,3.942586090063451,1,502,25
219.21,5.0,1120,0,2.431261422205795,1,3657,10
111.43,5.0,1335,0,9.495061500236144,1,2896,25
170.38,5.0,1407,0,11.860613154274215,1,2917,18
82.88,5.0,1056,0,0.3285488408386209,1,3310,10
58.71,1.0,1318,0,8.936528470810488,1,649,25
475.97,5.0,1375,0,10.809256863590628,1,2917,18
175.55,5.0,1354,0,10.119304297829524,3,2047,22
43.88,4.0,1076,0,0.9856465225158627,1,3494,25
95.3,4.0,1368,0,10.579272675003594,1,1132,18
95.76,5.0,1400,0,11.63062896568718,1,578,18
217.78,5.0,1251,0,6.735251237191728,1,2740,22
219.58,5.0,1193,0,4.829667960327727,1,2201,10
113.44,4.0,1125,0,2.595535842625105,1,1332,8
2422.0200000000004,5.0,1192,0,4.796813076243866,3,2157,25
100.91,5.0,1439,0,12.911969444957801,1,3649,10
190.75,5.0,1307,114,4.829667960327727,2,3328,25
206.32,5.0,1126,0,2.6283907267089672,1,2740,22
419.0,5.0,1145,0,3.252633524302347,1,1051,17
196.52,5.0,1076,0,0.9856465225158627,1,2201,10
61.63,5.0,1190,0,4.7311033080761415,1,3160,25
102.84,1.0,1205,0,5.223926569334073,1,3414,7
111.3,4.0,1476,0,14.1276001560607,1,649,25
369.92,4.0,1136,0,2.9569395675475882,1,413,10
72.27,1.0,1335,0,9.495061500236144,1,649,25
48.3,5.0,1439,0,12.911969444957801,1,3298,9
297.8,1.0,1113,0,2.20127723361876,1,1248,23
78.19,4.0,1262,0,7.096654962114211,1,3574,23
124.27,5.0,1197,0,4.9610874966631755,1,751,25
81.42,5.0,1177,0,4.303989814985934,1,2393,25
108.46,5.0,1052,0,0.19712930450317254,1,2917,18
142.0,5.0,1384,0,11.104950820345387,1,2542,17
77.57,5.0,1191,0,4.763958192160003,1,3744,7
41.09,4.0,1275,0,7.523768455204419,1,1828,23
75.17,3.0,1303,0,8.443705209552558,1,188,8
96.19,5.0,1265,0,7.195219614365798,1,3328,25
142.45,4.0,1082,0,1.1827758270190354,1,2730,8
63.1,5.0,1363,0,10.414998254584283,1,1051,17
477.55,4.0,1154,0,3.5483274810571057,1,508,6
77.57,5.0,1303,0,8.443705209552558,1,2740,22
