total_amount,avg_review,diff_first_today,diff_first_last,recency,frequency,customer_city,customer_state,purchased
149.87,5.0,1105,0,1.8070186246124151,1,3328,25,0
71.38,5.0,1148,0,3.219778640218485,1,2104,12,0
269.2,5.0,1099,0,1.6098893201092426,1,2067,25,0
23.72,1.0,1103,0,1.7413088564446908,1,649,25,0
119.32,4.0,1243,0,6.340992628185384,1,3328,25,0
94.35,4.0,1278,0,7.490913571120557,1,2393,25,0
66.64,2.0,1196,0,4.796813076243866,1,2917,18,0
300.6,1.0,1189,0,4.566828887656831,1,2315,18,0
108.46,5.0,1061,0,0.361403724922483,1,1923,4,0
34.0,5.0,1114,0,2.102712581367174,1,508,6,0
99.32,5.0,1308,0,8.47656009363642,1,2201,10,0
199.79,5.0,1181,0,4.303989814985934,1,3004,4,0
61.77,5.0,1236,0,6.111008439598349,1,1090,10,0
46.1,5.0,1119,0,2.266987001786484,1,1051,17,0
123.39,4.0,1313,0,8.64083451405573,1,2979,10,0
174.54,3.0,1493,0,14.554713649150907,1,206,25,0
211.01,5.0,1146,0,3.1540688720507606,1,2529,18,0
78.2,1.0,1077,0,0.8870818702642764,1,3741,10,0
233.93,5.0,1122,0,2.3655516540380708,1,3328,25,0
215.01,5.0,1303,0,8.31228567321711,1,3016,25,0
70.53,5.0,1316,0,8.739399166307317,1,2838,5,0
321.57,3.0,1261,0,6.932380541694902,1,3328,25,0
874.42,5.0,1090,0,1.3141953633544836,1,227,1,0
44.09,4.0,1170,0,3.942586090063451,1,413,10,0
112.08,1.0,1420,0,12.156307111028974,1,1412,25,0
67.36,5.0,1061,0,0.361403724922483,1,1033,25,0
41.69,5.0,1195,0,4.763958192160003,1,2126,18,0
64.0,4.0,1192,0,4.665393539908417,1,3477,25,0
126.48,5.0,1126,0,2.496971190373519,1,2917,18,0
90.85,5.0,1256,0,6.768106121275591,1,2158,25,0
67.57,5.0,1159,0,3.5811823651409678,1,1332,8,0
70.75,1.0,1091,0,1.3470502474383457,1,2917,18,0
42.35,5.0,1154,0,3.4169079447216575,1,2777,25,0
64.55,5.0,1430,0,12.484855951867594,1,3574,23,0
504.47,2.0,1130,0,2.6283907267089672,1,3674,25,0
349.53,5.0,1080,0,0.9856465225158627,1,1733,15,0
260.55,5.0,1325,0,9.035093123062076,1,3328,25,0
151.11,5.0,1478,0,14.061890387892975,1,2740,22,0
45.13,4.0,1091,0,1.3470502474383457,1,2917,18,0
132.05,5.0,1290,0,7.885172180126902,1,3328,25,0
64.04,4.0,1057,0,0.22998418858703465,1,1264,5,0
336.56,5.0,1499,0,14.751842953654078,1,3332,9,0
40.77,5.0,1374,0,10.644982443171317,1,3328,25,0
166.59,5.0,1192,0,4.665393539908417,1,413,10,0
30.27,5.0,1270,0,7.2280744984496605,1,3768,7,0
25.85,5.0,1311,0,8.575124745888006,1,2693,17,0
108.83,5.0,1125,0,2.464116306289657,1,649,25,0
93.78,2.0,1351,0,9.88932010924249,1,649,25,0
149.69,2.0,1200,0,4.928232612579314,1,3328,25,0
226.22,5.0,1362,0,10.250723834164972,1,347,10,0
43.58,4.0,1194,0,4.7311033080761415,1,3328,25,0
185.83,5.0,1437,0,12.71484014045463,1,1741,25,0
110.72,5.0,1353,0,9.955029877410214,1,2917,18,0
770.24,1.0,1452,0,13.20766340171256,1,2358,22,0
186.92,5.0,1316,0,8.739399166307317,1,284,25,0
147.97,5.0,1117,0,2.20127723361876,1,2650,25,0
35.4,2.0,1266,0,7.096654962114211,1,2917,18,0
101.73,5.0,1194,0,4.7311033080761415,1,1715,25,0
227.63,1.0,1051,0,0.03285488408386209,1,3328,25,0
66.91,4.0,1160,0,3.6140372492248303,1,2562,25,0
147.55,5.0,1418,0,12.09059734286125,1,413,10,0
91.29,5.0,1205,0,5.092507032998625,1,2917,18,0
21.04,5.0,1066,0,0.5256781453417935,1,649,25,0
40.95,1.0,1634,0,19.187252304975463,1,3287,25,0
49.69,2.0,1355,0,10.020739645577939,1,637,10,0
101.34,4.0,1164,0,3.7454567855602785,1,3323,23,0
36.48,4.0,1192,0,4.665393539908417,1,3328,25,0
66.99,4.0,1465,0,13.634776894802767,1,2034,10,0
105.08,4.0,1119,0,2.266987001786484,1,2917,18,0
60.05,5.0,1338,0,9.462206616152283,1,461,9,0
182.29,4.0,1162,0,3.6797470173925544,1,3016,25,0
64.42,2.0,1423,0,12.25487176328056,1,3328,25,0
259.4,5.0,1081,0,1.0185014065997249,1,2917,18,0
132.48,1.0,1114,0,2.102712581367174,1,472,18,0
33.37,5.0,1067,0,0.5585330294256555,1,3328,25,0
144.66,5.0,1189,0,4.566828887656831,1,1536,25,0
40.6,5.0,1194,0,4.7311033080761415,1,806,7,0
231.45,5.0,1407,0,11.729193617938767,1,1638,10,0
100.54,5.0,1438,0,12.747695024538492,1,2917,18,0
2148.4,1.0,1214,0,5.388200989753383,1,3328,25,0
140.0,5.0,1269,0,7.195219614365798,1,3207,7,0
148.76,5.0,1151,0,3.3183432924700713,1,16,5,0
138.41,5.0,1315,0,8.706544282223454,1,1748,4,0
418.17,5.0,1183,0,4.3696995831536585,1,2917,18,0
226.14,1.0,1141,0,2.9897944516314503,1,508,6,0
146.9,1.0,1198,0,4.86252284441159,1,3328,25,0
177.59,5.0,1106,0,1.8398735086962772,1,413,10,0
283.54,5.0,1067,0,0.5585330294256555,1,1264,5,0
107.78,4.0,1241,0,6.27528286001766,1,2917,18,0
106.16,5.0,1195,0,4.763958192160003,1,2684,25,0
128.59,5.0,1359,0,10.152159181913387,1,3328,25,0
223.88,5.0,1081,0,1.0185014065997249,1,3328,25,0
141.14,1.0,1333,0,9.297932195732972,1,3414,7,0
45.07,2.0,1146,0,3.1540688720507606,1,1410,25,0
77.57,5.0,1223,0,5.683894946508142,1,2917,18,0
63.61,5.0,1090,0,1.3141953633544836,1,3328,25,0
16.78,4.0,1124,0,2.431261422205795,1,2777,25,0
55.599999999999994,5.0,1200,0,4.928232612579314,1,413,10,0
68.66,1.0,1197,0,4.829667960327727,1,3004,4,0
673.69,3.0,1204,0,5.059652148914762,1,1332,8,0
126.66,3.0,1163,0,3.7126019014764164,1,135,25,0
204.24,4.0,1450,0,13.141953633544837,1,760,7,0
88.94,5.0,1100,0,1.6427442041931046,1,3014,10,0
111.32,5.0,1192,0,4.665393539908417,1,736,25,0
130.15,5.0,1204,0,5.059652148914762,1,3743,22,0
36.69,4.0,1097,0,1.5441795519415182,1,165,18,0
73.62,5.0,1221,0,5.6181851783404175,1,2911,25,0
414.06,3.0,1448,0,13.076243865377112,1,3114,22,0
72.05,5.0,1190,0,4.599683771740692,1,3328,25,0
67.79,4.0,1196,0,4.796813076243866,1,3477,25,0
83.01,1.0,1233,0,6.012443787346763,1,3212,18,0
85.14,1.0,1181,0,4.303989814985934,1,2917,18,0
55.06,1.0,1082,0,1.051356290683587,1,3004,4,0
252.40000000000003,4.0,1445,0,12.977679213125526,4,3328,25,0
252.40000000000003,4.0,1445,0,12.977679213125526,4,3328,25,0
252.40000000000003,4.0,1445,0,12.977679213125526,4,3328,25,0
252.40000000000003,4.0,1445,0,12.977679213125526,4,3328,25,0
252.40000000000003,4.0,1445,0,12.977679213125526,4,3328,25,0
252.40000000000003,4.0,1445,0,12.977679213125526,4,3328,25,0
252.40000000000003,4.0,1445,0,12.977679213125526,4,3328,25,0
252.40000000000003,4.0,1445,0,12.977679213125526,4,3328,25,0
252.40000000000003,4.0,1445,0,12.977679213125526,4,3328,25,0
252.40000000000003,4.0,1445,0,12.977679213125526,4,3328,25,0
252.40000000000003,4.0,1445,0,12.977679213125526,4,3328,25,0
252.40000000000003,4.0,1445,0,12.977679213125526,4,3328,25,0
252.40000000000003,4.0,1445,0,12.977679213125526,4,3328,25,0
252.40000000000003,4.0,1445,0,12.977679213125526,4,3328,25,0
252.40000000000003,4.0,1445,0,12.977679213125526,4,3328,25,0
252.40000000000003,4.0,1445,0,12.977679213125526,4,3328,25,0
71.13,5.0,1177,0,4.172570278650485,1,2917,18,0
187.94,5.0,1417,0,12.057742458777387,1,3679,13,0
95.22,4.0,1442,0,12.87911456087394,1,3328,25,0
95.21,4.0,1347,0,9.757900572907042,1,1505,22,0
284.23,5.0,1053,0,0.09856465225158627,1,3328,25,0
37.13,5.0,1051,0,0.03285488408386209,1,2740,22,0
35.09,5.0,1358,0,10.119304297829524,1,2456,22,0
178.46,4.0,1141,0,2.9897944516314503,1,3514,12,0
142.0,1.0,1065,0,0.49282326125793136,1,2579,25,0
115.4,4.0,1359,0,10.152159181913387,1,1526,23,0
92.05,5.0,1343,0,9.626481036571592,1,2393,25,0
246.38,1.0,1182,0,4.336844699069796,1,3379,17,0
27.87,5.0,1144,0,3.0883591038830365,1,3037,22,0
51.14,4.0,1123,0,2.398406538121933,1,3298,9,0
372.69,5.0,1129,0,2.595535842625105,1,1863,25,0
127.14,5.0,1108,0,1.9055832768640013,1,3779,7,0
212.43,5.0,1318,0,8.80510893447504,1,2134,8,0
146.18,4.0,1190,0,4.599683771740692,1,3328,25,0
109.31,5.0,1394,0,11.30208012484856,1,2917,18,0
137.99,5.0,1291,0,7.918027064210764,1,2460,10,0
28.69,5.0,1196,0,4.796813076243866,1,3542,25,0
65.0,5.0,1178,0,4.205425162734348,1,3328,25,0
147.15,4.0,1146,0,3.1540688720507606,1,1432,22,0
185.9,4.0,1063,0,0.4271134930902072,1,1051,17,0
215.05,5.0,1279,0,7.523768455204419,1,508,6,0
128.45,2.0,1055,0,0.16427442041931045,1,1715,25,0
95.83,3.0,1204,0,5.059652148914762,1,3128,25,0
44.09,3.0,1161,0,3.6468921333086923,1,1412,25,0
68.89,4.0,1256,0,6.768106121275591,1,3179,25,0
81.24,5.0,1087,0,1.2156307111028974,1,2740,22,0
45.2,1.0,1193,0,4.698248423992279,1,3333,18,0
159.31,5.0,1126,0,2.496971190373519,1,3701,25,0
34.86,4.0,1418,0,12.09059734286125,1,3087,10,0
420.94,1.0,1301,0,8.246575905049385,1,3004,4,0
292.22,1.0,1143,0,3.0555042197991744,1,2917,18,0
127.71,5.0,1081,0,1.0185014065997249,1,3328,25,0
40.55,3.0,1109,0,1.9384381609478634,1,3561,18,0
40.61,4.0,1192,0,4.665393539908417,1,3328,25,0
124.88,5.0,1195,0,4.763958192160003,1,3328,25,0
92.57,4.0,1181,0,4.303989814985934,1,3328,25,0
186.96,3.0,1092,0,1.379905131522208,1,3004,4,0
373.22,5.0,1462,0,13.536212242551182,1,347,10,0
235.13,5.0,1364,0,10.316433602332697,1,3328,25,0
116.99,1.0,1613,0,18.49729973921436,1,3328,25,0
159.86,5.0,1151,0,3.3183432924700713,1,3328,25,0
28.19,5.0,1093,0,1.41276001560607,1,3367,25,0
274.39,1.0,1145,0,3.1212139879668985,1,3328,25,0
92.57,3.0,1171,0,3.975440974147313,1,1410,25,0
75.19,4.0,1058,0,0.26283907267089673,1,3287,25,0
213.43,5.0,1154,0,3.4169079447216575,1,1858,10,0
161.62,2.0,1227,0,5.81531448284359,1,3328,25,0
123.47,5.0,1288,0,7.819462411959178,1,1680,4,0
227.27,4.0,1310,0,8.542269861804144,1,2917,18,0
35.0,4.0,1379,0,10.809256863590628,1,1248,23,0
273.25,5.0,1062,0,0.3942586090063451,1,398,25,0
475.47,4.0,1422,0,12.222016879196698,1,626,17,0
57.11,5.0,1285,0,7.720897759707592,1,2917,18,0
147.96,4.0,1378,0,10.776401979506765,1,2536,25,0
24.68,5.0,1130,0,2.6283907267089672,1,3328,25,0
152.17,4.0,1202,0,4.993942380747038,1,597,25,0
64.0,5.0,1284,0,7.688042875623729,1,2272,18,0
48.72,3.0,1081,0,1.0185014065997249,1,3296,22,0
58.59,4.0,1156,0,3.4826177128893816,1,3004,4,0
185.03,5.0,1234,0,6.045298671430625,1,649,25,0
33.54,5.0,1056,0,0.19712930450317254,1,390,25,0
114.26,5.0,1302,0,8.279430789133247,1,3559,16,0
223.44,1.0,1263,0,6.998090309862626,1,3328,25,0
220.54,5.0,1197,0,4.829667960327727,1,2018,2,0
47.72,5.0,1237,0,6.143863323682211,1,3328,25,0
110.82,1.0,1074,0,0.7885172180126901,1,458,25,0
125.69,5.0,1082,0,1.051356290683587,1,3328,25,0
115.92,1.0,1099,0,1.6098893201092426,1,413,10,0
69.07,5.0,1396,0,11.367789893016283,1,202,24,0
214.9,3.5,1112,60,0.06570976816772418,2,413,10,0
214.9,3.5,1112,60,0.06570976816772418,2,413,10,0
214.9,3.5,1112,60,0.06570976816772418,2,413,10,0
214.9,3.5,1112,60,0.06570976816772418,2,413,10,0
20.03,2.0,1139,0,2.924084683463726,1,3328,25,0
53.7,1.0,1265,0,7.06380007803035,1,413,10,0
33.68,5.0,1326,0,9.067948007145937,1,3367,25,0
150.29,5.0,1188,0,4.533974003572968,1,1843,23,0
41.75,5.0,1208,0,5.19107168525021,1,1146,25,0
346.45,5.0,1110,0,1.9712930450317254,1,3287,25,0
189.84,5.0,1159,0,3.5811823651409678,1,3703,8,0
80.2,5.0,1115,0,2.135567465451036,1,3114,22,0
4016.91,5.0,1448,0,13.076243865377112,1,3328,25,0
30.13,4.0,1067,0,0.5585330294256555,1,2917,18,0
55.09,5.0,1237,0,6.143863323682211,1,2917,18,0
236.3,4.5,1291,177,2.102712581367174,2,3123,4,0
236.3,4.5,1291,177,2.102712581367174,2,3123,4,0
236.3,4.5,1291,177,2.102712581367174,2,3123,4,0
236.3,4.5,1291,177,2.102712581367174,2,3123,4,0
45.48,5.0,1149,0,3.252633524302347,1,2769,10,0
18.83,5.0,1459,0,13.437647590299596,1,3657,10,0
81.2,5.0,1182,0,4.336844699069796,1,3532,22,0
261.9,4.0,1399,0,11.46635454526787,1,3328,25,0
41.84,5.0,1247,0,6.472412164520832,1,2196,10,0
31.38,4.0,1195,0,4.763958192160003,1,3328,25,0
91.77,4.0,1235,0,6.078153555514487,1,3328,25,0
67.5,3.0,1275,0,7.39234891886897,1,2684,25,0
155.26,4.0,1356,0,10.0535945296618,1,3328,25,1
155.26,4.0,1356,0,10.0535945296618,1,3328,25,1
100.33,4.0,1360,0,10.18501406599725,1,2009,10,0
117.53,5.0,1465,0,13.634776894802767,1,1476,22,0
84.91,1.0,1115,0,2.135567465451036,1,3328,25,0
88.9,4.0,1067,0,0.5585330294256555,1,3701,25,0
378.2,4.0,1077,0,0.8870818702642764,1,3328,25,0
96.71,4.0,1252,0,6.636686584940143,1,2917,18,0
50.01,1.0,1103,0,1.7413088564446908,1,2917,18,0
1429.59,5.0,1086,0,1.1827758270190354,1,3173,25,0
98.84,5.0,1484,0,14.259019692396148,1,732,10,0
63.44,5.0,1065,0,0.49282326125793136,1,649,25,0
74.16,4.0,1288,0,7.819462411959178,1,2881,10,0
82.23,5.0,1059,0,0.29569395675475885,1,2914,18,0
105.74,4.0,1496,0,14.653278301402493,1,2108,8,0
41.72,5.0,1103,0,1.7413088564446908,1,502,25,0
119.39,1.0,1422,0,12.222016879196698,1,2577,22,0
675.01,5.0,1285,0,7.720897759707592,1,2917,18,0
47.82,1.0,1269,0,7.195219614365798,1,621,11,0
58.0,5.0,1263,0,6.998090309862626,1,2069,17,0
63.27,2.0,1114,0,2.102712581367174,1,649,25,0
90.88,5.0,1337,0,9.42935173206842,1,2868,18,0
150.05,4.0,1178,0,4.205425162734348,1,1332,8,0
70.79,4.0,1402,0,11.564919197519457,1,1883,24,0
133.96,5.0,1205,0,5.092507032998625,1,413,10,0
1005.81,4.0,1074,0,0.7885172180126901,1,3328,25,0
142.1,4.0,1224,0,5.716749830592004,1,413,10,0
137.32,2.0,1188,0,4.533974003572968,1,2732,17,0
24.0,5.0,1124,0,2.431261422205795,1,413,10,0
139.03,5.0,1058,0,0.26283907267089673,1,188,8,0
94.9,5.0,1240,0,6.242427975933797,1,3360,25,0
356.39,5.0,1197,4,4.698248423992279,2,1217,4,0
356.39,5.0,1197,4,4.698248423992279,2,1217,4,0
356.39,5.0,1197,4,4.698248423992279,2,1217,4,0
356.39,5.0,1197,4,4.698248423992279,2,1217,4,0
115.65,2.0,1138,0,2.891229799379864,1,444,21,0
51.69,1.0,1213,0,5.355346105669521,1,3170,15,0
241.25,5.0,1119,0,2.266987001786484,1,1858,10,0
790.32,4.0,1106,0,1.8398735086962772,1,2239,10,0
150.87,2.0,1260,0,6.899525657611039,1,236,25,0
41.05,5.0,1274,0,7.359494034785109,1,3298,9,0
65.71,5.0,1238,0,6.176718207766073,1,3328,25,0
20.29,3.0,1092,0,1.379905131522208,1,3328,25,0
111.01,4.0,1483,0,14.226164808312285,1,900,1,0
138.39000000000001,5.0,1163,0,3.7126019014764164,1,961,10,0
28.810000000000002,5.0,1127,0,2.529826074457381,1,3004,4,0
241.48,5.0,1066,0,0.5256781453417935,1,3328,25,0
39.42,5.0,1444,0,12.944824329041664,1,2917,18,0
47.29,5.0,1083,0,1.084211174767449,1,649,25,0
89.17,3.0,1236,0,6.111008439598349,1,1051,17,0
49.52,5.0,1429,0,12.452001067783733,1,413,10,0
78.19,3.0,1092,0,1.379905131522208,1,3328,25,0
97.03,5.0,1194,0,4.7311033080761415,1,708,22,0
96.87,3.0,1086,0,1.1827758270190354,1,3328,25,0
44.1,5.0,1214,0,5.388200989753383,1,3749,10,0
192.41,5.0,1445,0,12.977679213125526,1,2914,18,0
211.6,5.0,1244,0,6.373847512269246,1,3282,25,0
95.31,3.0,1130,0,2.6283907267089672,1,508,6,0
315.12,5.0,1443,39,11.63062896568718,2,3227,25,0
315.12,5.0,1443,39,11.63062896568718,2,3227,25,0
315.12,5.0,1443,39,11.63062896568718,2,3227,25,0
315.12,5.0,1443,39,11.63062896568718,2,3227,25,0
98.6,1.0,1070,0,0.6570976816772418,1,1264,5,0
146.68,1.0,1241,0,6.27528286001766,1,3328,25,0
67.6,5.0,1221,0,5.6181851783404175,1,2398,23,0
77.06,3.0,1409,0,11.79490338610649,1,1433,25,0
308.64,4.0,1151,0,3.3183432924700713,1,1475,10,0
86.15,4.0,1105,0,1.8070186246124151,1,2740,22,0
261.24,5.0,1344,0,9.659335920655455,1,868,25,0
99.82,3.0,1103,0,1.7413088564446908,1,2601,18,0
209.95,5.0,1140,0,2.9569395675475882,1,649,25,0
118.02,4.0,1245,0,6.406702396353108,1,1264,5,0
60.85,4.0,1120,0,2.299841885870346,1,1671,25,0
89.58,3.0,1205,0,5.092507032998625,1,3004,4,0
317.35,5.0,1350,0,9.856465225158628,1,413,10,0
47.69,5.0,1246,0,6.43955728043697,1,3787,18,0
85.14,2.0,1185,0,4.435409351321383,1,149,8,0
163.68,5.0,1197,0,4.829667960327727,1,3282,25,0
89.88,2.0,1092,0,1.379905131522208,1,3004,4,0
66.01,4.0,1131,0,2.6612456107928293,1,2917,18,0
419.16,1.0,1143,0,3.0555042197991744,1,1264,5,0
474.96,3.0,1393,0,11.269225240764698,1,3328,25,0
222.24,3.0,1305,0,8.377995441384833,1,2740,22,0
39.28,1.0,1182,0,4.336844699069796,1,2464,13,0
88.72,1.0,1184,0,4.40255446723752,1,2917,18,0
304.56,3.0,1324,0,9.002238238978213,1,458,25,0
85.6,4.0,1454,0,13.273373169880285,1,3160,25,0
62.83,3.0,1481,0,14.160455040144562,1,3605,25,0
72.15,5.0,1107,0,1.8727283927801393,1,508,6,0
834.94,4.0,1115,0,2.135567465451036,1,2335,17,0
103.16,5.0,1129,0,2.595535842625105,1,1497,25,0
305.7,1.0,1408,0,11.762048502022628,1,2740,22,0
147.15,5.0,1156,0,3.4826177128893816,1,3708,7,0
68.13,1.0,1090,0,1.3141953633544836,1,2437,23,0
127.14,1.0,1196,0,4.796813076243866,1,1683,25,0
230.86,5.0,1099,0,1.6098893201092426,1,3328,25,0
102.03,4.0,1395,0,11.33493500893242,1,1404,25,1
102.03,4.0,1395,0,11.33493500893242,1,1404,25,1
35.69,4.0,1180,0,4.271134930902072,1,2917,18,0
37.9,4.0,1116,0,2.168422349534898,1,3328,25,0
266.86,4.0,1298,0,8.148011252797799,1,1733,15,0
219.28,5.0,1134,0,2.759810263044416,1,3298,9,0
108.0,5.0,1156,0,3.4826177128893816,1,3656,10,0
66.24,5.0,1053,0,0.09856465225158627,1,649,25,0
62.78,5.0,1247,0,6.472412164520832,1,3328,25,0
175.28,4.0,1266,0,7.096654962114211,1,2088,10,0
37.72,5.0,1329,0,9.166512659397524,1,3328,25,0
42.78,5.0,1101,0,1.6755990882769667,1,3328,25,0
43.69,4.0,1292,0,7.950881948294626,1,760,7,0
43.91,5.0,1330,0,9.199367543481385,1,3452,25,0
29.1,5.0,1395,0,11.33493500893242,1,2571,10,0
92.26,5.0,1067,0,0.5585330294256555,1,1835,10,0
159.11,5.0,1504,0,14.916117374073389,1,408,13,0
168.33,5.0,1147,0,3.186923756134623,1,2315,18,0
