Tot_sales,Tot_amount,Avg_review,Avg_delivery,Tot_sales_Quartile,Avg_review_Quartile,Tot_amount_Quartile,Avg_delivery_Quartile,SellerScore
3,389.64,4.666666666666667,0.6666666666666666,2,4,2,4,2244
11,768.8999999999999,4.818181818181818,3.8181818181818183,3,4,2,2,3242
35,2162.8,4.4,2.1714285714285713,4,3,3,3,4333
26,821.48,4.615384615384615,1.6153846153846154,4,4,2,4,4244
3,1139.9,4.333333333333333,1.6666666666666667,2,3,3,4,2334
1,373.0,2.0,3.278150893247353,1,1,2,2,1212
6,450.0,4.833333333333333,1.8333333333333333,2,4,2,4,2244
1443,140513.13999999952,3.8343728343728345,4.261954261954262,4,2,4,1,4421
4,284.6,5.0,1.25,2,4,2,4,2244
3,849.6999999999999,3.6666666666666665,11.0,2,1,3,1,2311
3,208.9,5.0,1.6666666666666667,2,4,1,4,2144
9,1294.9700000000003,3.888888888888889,2.2531278770274836,3,2,3,3,3323
14,1890.0,4.071428571428571,5.0,3,2,3,1,3321
133,6885.330000000001,4.097744360902255,2.4143804779924016,4,2,4,3,4423
40,6528.699999999993,4.35,2.575,4,3,4,3,4433
48,847.3500000000003,4.416666666666667,2.4791666666666665,4,3,3,3,4333
73,2004.8900000000003,4.602739726027397,1.6712328767123288,4,4,3,4,4344
2,781.9,5.0,4.0,1,4,2,2,1242
5,454.6,4.6,1.2,2,3,2,4,2234
2,594.98,3.0,1.5,1,1,2,4,1214
2,189.8,4.5,1.0,1,3,1,4,1134
4,1094.0,4.75,2.25,2,4,3,3,2343
103,4146.859999999993,3.7766990291262137,2.4854368932038833,4,2,4,3,4423
4,83.03999999999999,5.0,1.25,2,4,1,4,2144
5,802.89,3.6,2.8,2,1,2,2,2212
3,1197.0,5.0,1.6666666666666667,2,4,3,4,2344
6,2368.8,3.8333333333333335,1.5,2,2,3,4,2324
3,1459.97,2.6666666666666665,1.6666666666666667,2,1,3,4,2314
560,11908.849999999888,4.1571428571428575,2.8219252694522274,4,3,4,2,4432
16,1277.29,4.75,4.26738443082796,3,4,3,1,3341
2,397.0,3.5,9.0,1,1,2,1,1211
136,26973.0,4.514705882352941,4.553515815391525,4,3,4,1,4431
